category,value
sex,m
city,Pisz
username,@wiktor51
credit-card-number,4339-8134-2303-0667
credit-card-number,5209-2323-9403-6500
political-view,niezdecydowane
name,Monika
city,Vienna
political-view,prawicowe
surname,Marciniak
school-name,Liceum Ogólnokształcące im. M. Kopernika
document-number,WZ3704330
email,zuzanna.wróbel35@wp.pl
bank-account,DE25815376242363708599675439
name,Hubert
bank-account,PL02888238999980284223049635
date,04.09.5014
phone,+48 609 487 192
city,Konin
surname,Wieczorek
date,30/06/2009
username,weronika1_22
username,przemysławsokół684
document-number,74HASIY3Z
job-title,asystent
relative,syn Anorzej Baster
email,andrz3j.marciniak68@gmail.com
username,szymon_145
job-title,specjalista ds. HR
sexual-orientation,aseksualny
username,piotr_377
school-name,Politechnika Wrocławska
name,Marcin
email,jan.nagórka64@gmail.com
city,TarKobrzeg
secret,api_key_724357
document-number,YR6FVTTDJ
bank-account,DE04457102882533916908173148
username,olga_863
username,joanna_279
job-title,specjalista ds. HR
document-number,JT4209478
city,Szczyrk
city,Nowa Sól
company,Przychodnia Zdrowia Sp. z o.o.
ethnicity,Litwin
email,karolina.jaworski41@wp.pl
address,"ul. Leśna 54, Sosnowiec"
political-view,niezdecydowane
age,31
city,Piaseczno
school-name,Szkoła Policealna 'Nowa'
sex,mężczyzna
document-number,XH5144255
age,35
sex,inne
credit-card-number,4719558576313028
age,93
bank-account,GB05378247329975904821009465
sex,k
address,"ul. Kwiatowa 60, Koszalin"
sex,k
sex,m
relative,moja siostra Grzegorz Kania
health,nadciśnienie
credit-card-number,5576133434232452
health,brak chorób przewlekłych
religion,żyd
bank-account,DE89827668551600543448032467
secret,token-675801-x
credit-card-number,4588-7012-7013-9558
city,Żary
religion,protestant
sex,m
health,COVID-19 - przebyte
city,Miami
phone,+48 787 728 331
relative,moja siostra Przemysław Bodza
email,leom.kozłowski28@onet.pl
school-name,Akademia Górniczo-Hutnicza
job-title,programista
date,25/01/2003
job-title,nauczyciel
document-number,R5SSU1Z2C
name,Kajefan
phone,+48 724 384 173
phone,514 588 331
phone,+48 78z 212 g01
pesel,74121010633
sex,k
religion,ateista
email,patyrcja.lis88@example.com
school-name,Uniwersytet Warszawski
surname,Szymański
secret,api_key_273455
health,depresja
health,alergia
surname,Lizurej
secret,api_key_467961
religion,prawosławny
sex,kobieta
email,kaja.bakiera42@gmail.com
age,9
sexual-orientation,panseksualny
city,Chojnice
job-title,inżynier oprogramowania
username,@dawid66
relative,syn Alicja Nowak
sexual-orientation,nieokreślony
credit-card-number,5518 2404 7326 9328
phone,514 588 331
username,@natalia9
secret,AKIAKLPL75Q8BJV79M6O
email,zofia.król40@wp.pl
sexual-orientation,nieokreślony
company,Biuro Rachunkowe Alfa
document-number,MYSI3Y8BU
job-title,pielęgniarka
political-view,konserwatywne
sexual-orientation,nieokreślony
health,depresja
age,29
secret,AKIARHTDFOOB7FPD7UCP
name,Weronika
address,"27 High St, Athens"
religion,ateista
company,Polska Energetyka S.A.
sex,k
school-name,Technikum Informatyczne
company,Logistyka i Transport S.A.
date,27.03.2007
name,Jan
document-number,N6E3SJOX0
relative,moja siostra |acek Bakiera
username,iwonawójcik276
credit-card-number,5410-2978-3135-6857
phone,+48 787 728 331
health,brak chorób przewlekłych
bank-account,PL60816150461423180983073382
surname,Kwoalski
secret,passwd:4AHb9ijW1E
surname,Wasilewski
sexual-orientation,homoseksualny
document-number,IDP4ACFRP
health,astma
document-number,5XKT782HT
city,Zabrze
health,astma
religion,protestant
document-number,NYS6R8EJC
document-number,LB8836912
relative,moja siostra Natalia Cieślak
religion,brak wyznania
relative,syn Leom Cieślak
religion,muzułmanin
date,01.11.2019
age,88
email,|acek.lipinski74@onet.pl
health,cukrzyca
school-name,Przedszkole nr 12
address,"ul. Słowackiego 120, Starachowice"
date-of-birth,26.12.1973
job-title,specjalista ds. HR
credit-card-number,4087 3833 9562 3802
job-title,menedżer projektu
job-title,menedżer projektu
username,@piotr46
surname,Jaworski
username,aleksander.lizurej
document-number,IV4604025
religion,protestant
pesel,39031774242
company,"""FPUH Matulewi(z"""
job-title,nauczyciel
school-name,Akademia Górniczo-Hutnicza
ethnicity,Rosjanin
phone,+48 782 582 g00
pesel,72122208019
sex,F
bank-account,BE51915734135212980303830985
ethnicity,Białorusin
name,Ewa
address,"26 Main St, Lisbon"
health,choroba serca
job-title,inżynier oprogramowania
date,2019-01-23
political-view,prawicowe
sexual-orientation,heteroseksualny
address,"ul. Piłsudskiego 63, Jaworzno"
bank-account,PL68335226211534783825120871
relative,mój brat Rafał Linka
health,brak chorób przewlekłych
date,2020-12-14
job-title,kierowca
city,Zakopane
username,tomaszmaterka496
address,"188 High St, Valencia"
company,Gabinety Ośkap1.
username,grzegorz.kozłowski
username,magdalena.adamczyk
document-number,KG4107073
date-of-birth,1971-08-29
address,"ul. Rynek 182, Kałobrzeg"
company,"""FPUH Matulewi(z"""
date,12.07.2019
name,Zuzanna
email,andrz3j.kowalczyk32@wp.pl
pesel,93022145723
health,nadciśnienie
name,Natalia
city,Ostrołęka
pesel,90020337956
relative,moja siostra Z0fi4 Mroż
relative,mój brat Hubert Sikora
company,Agencja Marketingowa Creativa
phone,+48 513 078 320
credit-card-number,3764-1642-0070-017
surname,Jablonski
sexual-orientation,panseksualny
document-number,VX1648882
job-title,asystent
secret,passwd:1CBmdWYybI
city,Nowy Sącz
company,XYZ S.A.
sex,kobieta
phone,+48 78z 212 g01
job-title,projektant UX
sex,kobieta
name,Bartosz
email,piotr.dąbrowski46@gmail.com
phone,794 246 343
sex,mężczyzna
city,Sosnowiec
credit-card-number,5949 4308 7068 9280
name,Łukasz
date,27.06.2009
name,Marcin
date-of-birth,1948-11-27
health,choroba serca
bank-account,ES66333740820453575445613855
school-name,Liceum Ogólnokształcące im. M. Kopernika
political-view,niezdecydowane
bank-account,PL14352824109872476955816511
sex,inne
credit-card-number,5840-2134-1021-2478
political-view,liberalne
secret,passwd:Pd0khjH08T
date-of-birth,16.11.1985
age,13
pesel,23011218493
name,Patrycja
bank-account,PL90871364098563771538199696
address,"ul. Nowa 88, Rzeszów"
sexual-orientation,biseksualny
school-name,Zespół Szkół Ekonomicznych
date,01/04/2024
religion,prawosławny
phone,+48 78z 212 g01
email,aleksander.wójcik99@example.com
pesel,65011620311
date,20/09/2003
document-number,JR1599135
surname,Bodzak
job-title,asystent
name,Iwona
age,71
sex,inne
secret,api_key_254877
date-of-birth,20/06/1934
phone,+48 782 582 g00
city,Węgorzewo
job-title,referent
political-view,lewicowe
secret,api_key_936873
city,Geenva
job-title,nauczyciel
surname,Nowak
age,22
name,Andrz3j
surname,Nowicki
political-view,centrowe
sex,kobieta
surname,Bodzak
school-name,Liceum Ogólnokształcące im. M. Kopernika
username,@alicja31
surname,Kowalczyk
health,depresja
date,16.12.2022
school-name,Liceum Ogólnokształcące im. M. Kopernika
job-title,magazynier
address,"ul. Polna 126, Białystok"
relative,syn Gaja Lipinski
city,Zielona Góra
school-name,Przedszkole nr 12
sexual-orientation,homoseksualny
date,24/05/2003
secret,api_key_623301
city,Bydgoszcz
city,Tarnów
username,natalia_837
age,35
school-name,Uniwersytet Warszawski
date-of-birth,15.11.1938
age,26
bank-account,PL23185154231796482631935324
sexual-orientation,homoseksualny
phone,794 246 343
address,"ul. Długa 1, Włocławek"
health,brak chorób przewlekłych
phone,+48 724 384 173
school-name,Szkoła Policealna 'Nowa'
email,magdalena.kania28@gmail.com
name,Iwona
religion,żyd
surname,Kania
sexual-orientation,aseksualny
company,FPUH Kołpak
email,zuzanna.wróbel98@gmail.com
sexual-orientation,homoseksualny
school-name,Politechnika Wrocławska
political-view,liberalne
sex,mężczyzna
city,Goleniów
email,andrzej.bodzak53@onet.pl
username,@alicja11
username,@kamil56
city,Goleniów
surname,Kościesza
company,Nauka i Rozwój Sp. z o.o.
address,"175 Main St, Moscow"
ethnicity,Ukraińczyk
secret,api_key_569455
religion,ateista
document-number,PUO9JPFVJ
company,"""FPUH Matulewi(z"""
political-view,niezdecydowane
date-of-birth,1967-06-30
username,robert_94
name,Jan
document-number,PM3458206
job-title,kierowca
ethnicity,Polak
company,Gabinety Wiese
sexual-orientation,nieokreślony
sexual-orientation,panseksualny
religion,protestant
bank-account,PL78452008559241362139114267
email,julia.kania45@gmail.com
bank-account,PL69500917844139834569716885
religion,katolik
name,Monika
address,"ul. Rynek 30, Łódź"
secret,AKIAVX5D5LEK3VQSU5NB
secret,api_key_833011
credit-card-number,5418057904918114
religion,brak wyznania
credit-card-number,5752-9181-3950-4927
phone,+48 724 384 173
name,Alicja
phone,+48 513 078 320
job-title,specjalista ds. HR
sexual-orientation,heteroseksualny
sex,mężczyzna
name,Kaja
ethnicity,Litwin
username,@iwona51
date-of-birth,1999-06-20
secret,AKIAFMJ4CQPDVD6LSOX1
age,27
date-of-birth,06.11.1986
school-name,Politechnika Wrocławska
address,"122 High St, Toronto"
credit-card-number,5380 5083 7365 2487
city,Wejherowo
job-title,kierownik
company,Hurtownia Spożywcza
ethnicity,Rom
age,37
ethnicity,Białorusin
age,72
sex,kobieta
political-view,konserwatywne
bank-account,PL23687221995258143369564477
city,Malbork
document-number,E9OB9JRCW
pesel,30012721729
date,03.02.2003
political-view,prawicowe
phone,+48 513 078 320
email,szymon.siwek38@onet.pl
secret,passwd:wxMW12FrIi
school-name,Technikum Informatyczne
surname,Sznmański
job-title,inżynier oprogramowania
date-of-birth,26/02/1967
health,brak chorób przewlekłych
political-view,centrowe
job-title,magazynier
company,Przychodnia Zdrowia Sp. z o.o.
username,karolina.stępień
name,Karolina
city,Zurcih
sex,inne
religion,żyd
pesel,96062315877
date-of-birth,23.10.1976
sexual-orientation,biseksualny
pesel,58032436791
address,"ul.0Królewska 75, Pabianice"
pesel,37052468980
credit-card-number,4986260705981751
political-view,centrowe
school-name,Przedszkole nr 12
date,04/01/2016
date,07/03/2004
company,Firma Handlowa Nowak
job-title,kierownik
job-title,nauczyciel
city,Warsaw
school-name,Liceum Ogólnokształcące im. M. Kopernika
secret,passwd:n6bkj3INci
ethnicity,Niemiec
age,37
date,31/12/2007
surname,Kamiński
surname,Stępie
name,Bartosz
company,"""PPUH Latuszek i syn s.c."""
sex,mężczyzna
age,12
age,33
company,Przychodnia Zdrowia Sp. z o.o.
age,5
credit-card-number,4116 5817 2963 3992
credit-card-number,5373795070309664
school-name,Politechnika Wrocławska
health,cukrzyca
date-of-birth,07/06/1921
city,Kępno
username,leom.walczak
phone,+48 513 078 320
school-name,Zespół Szkół Ekonomicznych
surname,Jankowski
date,2020-02-29
surname,Linka
bank-account,GB40781617623911524517357415
email,nina.siwek54@wp.pl
ethnicity,Węgier
ethnicity,Rosjanin
relative,mój brat Aleksander Kołodziej
date,02/05/2015
sex,inne
address,"ul. Lipowa 47, Sopot"
credit-card-number,3723-6942-0986-324
address,"ul. Lipowa 179, Suwałki"
name,Piotr
phone,794 246 343
username,zofia.jankowski
city,Gostyń
sex,kobieta
name,Magdalena
secret,AKIAJAEGAEI88DYWTWKC
ethnicity,Ukraińczyk
date,2016-08-14
school-name,Szkoła Policealna 'Nowa'
surname,Zając
relative,mój brat Łukasz Kozłowski
bank-account,PL22041029932586043501104836
date-of-birth,05.03.1932
name,Alicja
bank-account,PL34439904296460567668288445
school-name,Uniwersytet Warszawski
religion,ateista
document-number,LD2731120
age,65
religion,żyd
school-name,Liceum Ogólnokształcące im. M. Kopernika
ethnicity,Rosjanin
document-number,5S4SG3CN4
job-title,dyrektor
age,52
secret,token-549785-x
sex,m
email,tomasz.mazur54@exampel.com
username,julia.kowalczyk
age,56
company,Restauracja Smak
city,Amsterdam
job-title,dyrektor
health,astma
bank-account,PL36351181218997183070827745
sexual-orientation,biseksualny
religion,brak wyznania
sex,k
ethnicity,Ukraińczyk
sexual-orientation,nieokreślony
email,krzysztof.bodzak20@onet.pl
relative,syn Leom Kamiński
age,87
surname,Olszewski
secret,api_key_408372
name,MaBta
job-title,dyrektor
secret,passwd:wkLSndmD91
relative,syn Eryk Górski
city,Nidzica
health,nadciśnienie
sex,k
company,Restauracja Smak
surname,Cieślak
address,"3 iHgh St, Vienna"
religion,brak wyznania
surname,Czarnecki
pesel,69031729294
name,|acek
date,30.06.2021
relative,mój brat Eryk Bakiera
address,"ul. Kolejowa 177, Kielce"
username,@natalia61
address,"ul. Kościuszki 34, Skierniewice"
city,Żyrardów
sexual-orientation,panseksualny
email,marta.linka7@example.com
political-view,niezdecydowane
job-title,księgowy
address,"ul. Lipowa 134, Gryfice"
relative,mój brat Helena Skrzecz
surname,Kołodziej
credit-card-number,3753 6665 0721 865
age,92
company,Tech Solutions Sp. z o.o.
username,@gaaj2
religion,muzułmanin
secret,token-960334x
date-of-birth,16.10.2002
school-name,Politechnika Wrocławska
ethnicity,Białorusin
surname,Malinowski
ethnicity,Ukraińczyk
ethnicity,Rosjanin
sex,mężczyzna
name,Kacp€r
surname,Pawlak
surname,Lewandowski
bank-account,PL99127916891789622087633073
username,gajakruk914
name,Oliiwa
company,Gabinety Wiese
health,nadciśnienie
date,2007-05-21
city,Legnica
sex,m
sex,inne
username,maria.woźniak
secret,AKIAC9HLKTOHOUII57LY
city,Żuromin
date,09.02.2011
health,alergia
job-title,dyrektor
school-name,Zespół Szkół Ekonomicznych
document-number,ZT9024063
sexual-orientation,biseksualny
email,rafał.kaczmarek21@gmail.com
pesel,78062562565
political-view,prawicowe
ethnicity,Polak
address,"ul. Polna 140, Ciechanów"
secret,passwd:loOoNDOxaY
relative,syn Maria Urb4ński
relative,syn Sonia Lweandowski
sexual-orientation,nieokreślony
sex,M
health,brak chorób przewlekłych
document-number,UB5237161
sexual-orientation,heteroseksualny
relative,córka Kajefan Wisniewski
age,12
name,Andrz3j
address,"ul. Szeroka 143, Kościerzyna"
ethnicity,Węgier
document-number,BF4818801
religion,świadek Jehowy
secret,passwd:EmJm4HRvlK
phone,+48 782 582 g00
school-name,Akademia Górniczo-Hutnicza
religion,muzułmanin
name,Grz3g0rz
username,@beata14
pesel,69050556916
date-of-birth,1985-04-12
age,22
bank-account,PL61347253071990550616406462
political-view,prawicowe
pesel,05250533256
name,Nina
religion,muzułmanin
ethnicity,Rosjanin
religion,prawosławny
surname,Bąk
school-name,Liceum Ogólnokształcące im. M. Kopernika
date,13/01/2008
sex,M
pesel,63060956359
document-number,8F1XK3P5B
religion,ateista
address,"ul. Kościuszki 37, Kielce"
sex,F
school-name,Technikum Informatyczne
bank-account,ES931492488842@7167034664506
address,"48 High St, Oslo"
sex,mężczyzna
sexual-orientation,biseksualny
username,@k4mil8
political-view,socjalistyczne
relative,mój brat Apolonia Adamczlk
sex,mężczyzna
address,"32 High St, London"
bank-account,PL18191335044164650868544875
email,krzysztof.jabłoński58@gmail.com
sex,M
address,"ul. Mickiewicza 137, Kościan"
city,Kamienna Góra
age,18
health,alergia
age,68
document-number,IC4406172
surname,Kaczmarek
political-view,prawicowe
address,"ul. Leśna 94, Opole"
city,Olsztyn
surname,Wójcki
sexual-orientation,biseksualny
job-title,asystent
surname,Nagórka
relative,córka Przemysmaw Mazur
date-of-birth,17/05/1945
credit-card-number,4723 2437 5080 7087
email,beatl.pawlak12@example.com
relative,córka Patrycja 5abak
address,"4 High St, Munich"
email,natalia.szymański6@onet.pl
secret,api_key_113123
date,08.10.2001
ethnicity,Białorusin
relative,mój brat Szymon 5abak
sexual-orientation,nieokreślony
surname,Cieślak
company,"""FPUH Matulewi(z"""
age,76
ethnicity,Niemiec
date-of-birth,1993-12-13
date,09.07.2000
political-view,konserwatywne
job-title,projektant UX
health,nadciśnienie
sex,k
sex,F
address,"ul. Słowackiego 24, Bolesławiec"
religion,brak wyznania
relative,syn AndrS3j Olszewski
email,marcin.lizurej76@wp.pl
secret,token-727236-x
sexual-orientation,biseksualny
religion,katolik
date,24/06/2008
secret,token-460489-x
school-name,Akademia Górniczo-Hutnicza
username,@nina68
company,Gabinety Ośkap1.
religion,prawosławny
city,Stockholm
credit-card-number,4695255133413783
pesel,61112496412
surname,Dbąrowski
bank-account,PL74195183054207758459210832
name,Eryk
job-title,asystent
school-name,Liceum Ogólnokształcące im. M. Kopernika
email,beata.zieliński1@example.com
address,"ul. Szeroka 3, Radomsko"
sexual-orientation,nieokreślony
school-name,Zespół Szkół Ekonomicznych
name,Aleksander
company,Biuro Rachunkowe Alfa
credit-card-number,4444 4894 0711 9115
religion,muzułmanin
sex,m
date-of-birth,17.11.1941
school-name,Szkoła Podstawowa nr 5
company,Biuro Rachunkowe Alfa
username,iwna5abak579
ethnicity,Ukraińczyk
address,"ul. Długa 90, Gliwice"
credit-card-number,3718 8765 9806 468
phone,+48 513 078 320
job-title,programista
ethnicity,Niemiec
bank-account,PL08406270940290172377398368
political-view,liberalne
school-name,Zespół Szkół Ekonomicznych
pesel,69060150661
ethnicity,Węgier
address,"103 Main St, Beijing"
company,Firma Handlowa Nowak
credit-card-number,3770-1796-9673-507
document-number,EE1102677
phone,794 246 343
phone,+48 513 078 320
email,julia.sikora83@onet.pl
secret,token-504999-x
job-title,nauczyciel
username,paulina.kaczmarek
sex,m
surname,Lewandowski
relative,syn Mic4ał Bakiera
political-view,prawicowe
health,cukrzyca
school-name,Liceum Ogólnokształcące im. M. Kopernika
bank-account,PL85939605747948734169781476
date,2002-03-29
health,brak chorób przewlekłych
health,cukrzyca
phone,+48 787 728 331
username,eryk.5abak
username,weronikawieczorek318
sex,M
phone,514 588 331
ethnicity,Ukraińczyk
name,Andrzej
relative,córka Paweł Wasil2wski
relative,córka Jan Kowalczyk
relative,córka Aleksander Walczak
ethnicity,Rosjanin
credit-card-number,5364779609949480
city,Końskie
health,choroba serca
relative,mój brat Natalia Kołodziej
date-of-birth,1963-02-12
sex,k
sexual-orientation,nieokreślony
secret,api_key_124757
pesel,21013040889
